Date,Customer,Invoice_To,Invoice_No,Market,Drop_Off_Point,Currency,Quantity_Sold,No_Boxes,Unit_Price,Total_Sales,Exchange_Rate_to_KES,Total_Sales_KES
08/02/2026,BLACK TULIP,BLACK TULIP,16064,Export,GARDEN FREIGHT,USD,800,3,0.17,136,130,17680
08/02/2026,CAMELIA,CAMELIA FLOWERS LLC,16065,Export,FREIGHTWINGS,EUR,600,2,0.366666667,220,140,30800
08/02/2026,FLOWER HUB,FLOWER HUB,16066,Export,KN,USD,810,3,0.17,137.7,130,17901
08/02/2026,DOMUS FLOWER LLC,DOMUS,16067,Export,FREIGHTWINGS,USD,6700,15,0.145074627,972,130,126360
08/02/2026,BLISS FZC,WAFEX,16068,Export,KN,USD,300,1,0.55,165,130,21450
08/02/2026,GFT LLC CO,GULF FLOWERS,16069,Export,AIRFLO,USD,1400,4,0.22,308,130,40040
08/02/2026,ASAROOJ,MUZNA FLOWERS,16070,Export,MITCHEL COTTS C/O ROYALWAYS,USD,2400,7,0.409166667,982,130,127660
08/02/2026,SYLS FLOWERS AND DECORE,WAFEX,16071,Export,KN,USD,300,1,0.17,51,130,6630
08/02/2026,CONSOLIDATOR,CONSOLIDATOR,16074,Export,,USD,5000,10,0.116,580,130,75400
09/02/2026,FLOWER AXIS,FLOWER AXIS,16075,Export,DB SCHENKA,USD,2800,7,0.5,1400,130,182000
09/02/2026,MUZNA,MUZNA FLOWERS,16076,Export,,USD,2800,7,0.43,1204,130,156520
09/02/2026,BLACK TULIP,BLACK TULIP,16077,Export,GARDEN FREIGHT,USD,600,2,0.55,330,130,42900
09/02/2026,FLORAL HOUSE,ANAYA,16078,Export,DB SCHENKER,USD,2400,8,0.45,1080,130,140400
09/02/2026,ASAROOJ,MUZNA FLOWERS,16079,Export,MITCHEL COTTS C/O ROYALWAYS,USD,10100,24,0.367524752,3712,130,482560
09/02/2026,FLOWER HUB,FLOWER HUB,16080,Export,kn2,USD,1890,7,0.23,434.7,130,56511
09/02/2026,OSAMA,OSAMA BAKIR,16081,Export,MONSTERA CARGO,USD,600,2,0.29,174,130,22620
09/02/2026,WARRUD,WAFEX,16082,Export,KN,USD,5700,19,0.172105263,981,130,127530
09/02/2026,BLOOM HOUSE,WAFEX,16083,Export,KN,USD,1200,3,0.43,516,130,67080
09/02/2026,SYLS FLOWERS AND DECORE,WAFEX,16084,Export,KN,USD,300,1,0.3,90,130,11700
10/02/2026,ASAROOJ,MUZNA FLOWERS,16088,Export,NEW SIGNON,USD,6500,19,0.374307692,2433,130,316290
10/02/2026,FLOREA BLOOMS,FLOREA BLOOMS,16089,Export,FFFS,USD,4000,16,0.63,2520,130,327600
10/02/2026,MUZNA,MUZNA FLOWERS,16090,Export,NEW SIGNON,USD,2700,8,0.485555556,1311,130,170430
10/02/2026,TGW,DFG,16091,Export,AIRFLO,EUR,1800,7,0.16,288,140,40320
10/02/2026,MIR CVETOV,STEADY MARKET,16092,Export,AIRFLO,EUR,1900,4,0.139473684,265,140,37100
10/02/2026,TREVIA,TREVIA LLC,16093,Export,EXPOLANKA,USD,800,2,0.2125,170,130,22100
10/02/2026,DOMUS FLOWER LLC,DOMUS,16092,Export,FREIGHTWINGS,USD,15300,40,0.164281046,2513.5,130,326755
10/02/2026,FLOWER AXIS,FLOWER AXIS,16093,Export,DB SCHENKA,USD,2300,7,0.495217391,1139,130,148070
10/02/2026,CONSOLIDATOR,CONSOLIDATOR,16094,Export,AIRFLO,USD,5000,10,0.116,580,130,75400
11/02/2026,TGW,DFG,16099,Export,AIRFLO,EUR,1800,9,0.16,288,140,40320
11/02/2026,FLOWER HUB,FLOWER HUB,16100,Export,kn2,USD,810,3,0.256666667,207.9,130,27027
11/02/2026,MONALISA,MONALISA FLORIST,16101,Export,DB SCHENKA,USD,2600,9,0.34,884,130,114920
11/02/2026,FLORAL HOUSE,ANAYA,16102,Export,DB SCHENKER,USD,4500,15,0.19,855,130,111150
11/02/2026,ASAROOJ,MUZNA FLOWERS,16103,Export,,USD,5650,16,0.160265487,905.5,130,117715
11/02/2026,PASAFRICA,PASAFRICA(EPZ),16104,Export,AIRFLO,EUR,1000,2,0.12,120,140,16800
11/02/2026,GULF FZCO,GULF FLOWERS,16105,Export,AIRFLO,USD,1200,3,0.17,204,130,26520
11/02/2026,GULF FZCO,GULF FLOWERS,16057,Export,AIRFLO,USD,3060,6,0.12,367.2,130,47736
12/02/2026,FLOWER HUB,FLOWER HUB,16106,Export,KN2,USD,740,3,0.247837838,183.4,130,23842
12/02/2026,TGW,DFG,16107,Export,AIRFLO,EUR,1800,9,0.16,288,140,40320
12/02/2026,TREVIA,TREVIA LLC,16108,Export,EXPOLANKA,USD,2600,6,0.12,312,130,40560
12/02/2026,OASIS,OASIS,16109,Export,EXPOLANKA,EUR,7680,16,0.131041667,1006.4,140,140896
12/02/2026,PASAFRICA,PASAFRICA(EPZ),16110,Export,AIRFLO,EUR,1000,2,0.12,120,140,16800
12/02/2026,FLORAL HOUSE,ANAYA,16111,Export,AIRFLO,USD,3500,9,0.141428571,495,130,64350
12/02/2026,MONALISA,MONALISA FLORIST,16112,Export,DB SCHENKA,USD,600,2,0.265,159,130,20670
13/02/2026,LP GLOBAL,LP GLOBAL,16114,Export,FRESHFLOW,USD,5400,11,0.231111111,1248,130,162240
13/02/2026,GULF FZCO,GULF FLOWERS,16115,Export,AIRFLO,USD,5600,11,0.12,672,130,87360
13/02/2026,IP HANDLERS,ETHAME FLOWERS,16116,Export,EXPOLANKA,USD,1800,4,0.142222222,256,130,33280
13/02/2026,TGW,DFG,16117,Export,AIRFLO,EUR,1000,5,0.16,160,140,22400
13/02/2026,FLOWER HUB,FLOWER HUB,16118,Export,kn2,USD,270,1,0.21,56.7,130,7371
13/02/2026,LP GLOBAL,LP GLOBAL,16119,Export,MORGAN,USD,860,2,0.193023256,166,130,21580
13/02/2026,OSAMA,OSAMA BAKIR,16120,Export,MONSTERA,USD,6460,22,0.170464396,1101.2,130,143156
13/02/2026,PASAFRICA,PASAFRICA(EPZ),16121,Export,AIRFLO,EUR,6000,17,0.139,834,140,116760
13/02/2026,FLOWER HUB,FLOWER HUB,16122,Export,kn2,USD,3460,11,0.139595376,483,130,62790
13/02/2026,MILELE,MILELE,16123,Export,AIRFLO,USD,1420,3,0.134084507,190.4,130,24752
13/02/2026,MIR CVETOV,STEADY MARKET,16124,Export,AIRFLO,EUR,1500,3,0.12,180,140,25200
13/02/2026,MONALISA,MONALISA FLORIST,16128,Export,DB SCHENKA,USD,400,1,0.17,68,130,8840
13/02/2026,MODESTO,MF FLOWERS,16129,Export,,USD,400,1,0.42,168,130,21840
14/02/2026,GOLDEN FLOWERS,GOLDEN FLOWERS,16130,Export,AIRFLO,EUR,29040,60,0.126363636,3669.6,140,513744
14/02/2026,OASIS,OASIS,16131,Export,AIRFLO,EUR,12400,26,0.129870968,1610.4,140,225456
14/02/2026,MODESTO,MF FLOWERS,16132,Export,TTC,USD,800,2,0.18,144,130,18720
14/02/2026,ASAROOJ,DGL,16133,Export,,USD,4200,14,0.202142857,849,130,110370
14/02/2026,LP GLOBAL,LP GLOBAL,16134,Export,FRESHFLOW,USD,1860,4,0.218064516,405.6,130,52728
14/02/2026,IP HANDLERS,ETHAME FLOWERS,16135,Export,EXPOLANKA,USD,1200,3,0.17,204,130,26520
14/02/2026,AGRINORD,KNET,16136,Export,KN,USD,880,2,0.16,140.8,130,18304
14/02/2026,FRESH FROM THE SOURCE,DFG,16137,Export,AIRFLO,,2700,6,,,,
14/02/2026,TREVIA,TREVIA,16138,Export,EXPOLANKA,USD,800,2,0.17,136,130,17680
14/02/2026,MONALISA,MONALISA FLORIST,16139,Export,DB SCHENKA,USD,400,1,0.17,68,130,8840
14/02/2026,LP GLOBAL,LP GLOBAL,16140,Export,MORGAN,USD,180,1,0.5,90,130,11700
15/02/2026,GOLDEN FLOWERS,GOLDEN FLOWERS,16143,Export,FRESHFLOW,EUR,14140,29,0.116364922,1645.4,140,230356
15/02/2026,TGW,DFG,16144,Export,AIRFLO,EUR,800,4,0.16,128,140,17920
15/02/2026,OSAMA,OSAMA BAKIR,16145,Export,MONSTERA,USD,1160,4,0.29,336.4,130,43732
15/02/2026,LP GLOBAL,LP GLOBAL,16146,Export,FRESHFLOW,USD,860,2,0.19255814,165.6,130,21528
15/02/2026,FRESH FROM THE SOURCE,DFG,16147,Export,AIRFLO,,1350,3,,,,
15/02/2026,FLOWER HUB,FLOWER HUB,16148,Export,kN2,USD,1500,5,0.21,315,130,40950
15/02/2026,CROCUS,CROCUS,16149,Export,FREIGHTWINGS,USD,7550,22,0.196622517,1484.5,130,192985
15/02/2026,PASAFRICA,PASAFRICA,16150,Export,AIRFLO,EUR,800,2,0.12,96,140,13440
15/02/2026,FLOWER HUB,FLOWER HUB,16151,Export,kN2,USD,1800,5,0.12,216,130,28080
16/02/2026,OASIS,OASIS,16154,Export,,EUR,13840,28,0.121445087,1680.8,140,235312
16/02/2026,OSAMA,OSAMA BAKIR,16155,Export,MONSTERA,USD,1170,4,0.29,339.3,130,44109
16/02/2026,GOLDEN FLOWERS,GOLDEN FLOWERS,16156,Export,,EUR,25360,54,0.138801262,3520,140,492800
16/02/2026,TGW,DFG,16157,Export,AIRFLO,EUR,800,4,0.16,128,140,17920
16/02/2026,GULF FZCO,GULF FLOWERS,16158,Export,AIRFLO,USD,1200,4,0.17,204,130,26520
16/02/2026,CONSOLIDATOR,CONSOLIDATOR,16159,Export,AIRFLO,USD,6350,13,0.116,736.6,130,95758
17/02/2026,OCTOFLOR,OCTOFLOR,16160,Export,,EUR,700,2,0.211428571,148,140,20720
17/02/2026,PASAFRICA,PASAFRICA,16161,Export,AIRFLO,EUR,1200,3,0.17,204,140,28560
17/02/2026,LP GLOBAL,LP GLOBAL,16162,Export,FRESHFLOW,USD,360,1,0.21,75.6,130,9828
17/02/2026,TGW,DFG,16163,Export,AIRFLO,EUR,1800,9,0.16,288,140,40320
17/02/2026,GOLDEN FLOWERS,GOLDEN FLOWERS,16164,Export,,EUR,17300,34,0.113075145,1956.2,140,273868
17/02/2026,OASIS,OASIS,16165,Export,,EUR,10160,22,0.137716535,1399.2,140,195888
17/02/2026,FLOWER AXIS,FLOWER AXIS,16166,Export,,USD,3500,7,0.12,420,130,54600
17/02/2026,FLOWER HUB,FLOWER HUB,16167,Export,kn2,USD,1800,6,0.21,378,130,49140
18/02/2026,FLOWER HUB,FLOWER HUB,16168,Export,kn2,USD,540,2,0.21,113.4,130,14742
18/02/2026,FLOWER HUB,FLOWER HUB,16169,Export,kn2,USD,1800,5,0.21,378,130,49140
18/02/2026,FLOWER AXIS,FLOWER AXIS,16170,Export,FRESHFLOW,USD,1000,2,0.24,240,130,31200
18/02/2026,TREVIA,TRIVIA,16171,Export,EXPOLANKA,USD,2200,5,0.138181818,304,130,39520
18/02/2026,GOLDEN FLOWERS,GOLDEN FLOWERS,16172,Export,FRESHFLOW,EUR,5720,11,0.11,629.2,140,88088
18/02/2026,LP GLOBAL,LP GLOBAL,16173,Export,FRESHFLOW,USD,700,2,0.188571429,132,130,17160
18/02/2026,IP HANDLERS,ETHAME FLOWERS,16174,Export,EXPOLANKA,USD,980,3,0.229591837,225,130,29250
18/02/2026,PASAFRICA,PASAFRICA,16175,Export,AIRFLO,EUR,1200,3,0.12,144,140,20160
18/02/2026,MODESTO,MF FLOWERS,16176,Export,ttc,USD,2000,4,0.2166,433.2,130,56316
18/02/2026,CONSOLIDATOR,CONSOLIDATOR,16177,Export,AIRFLO,USD,12650,26,0.116,1467.4,130,190762
18/02/2026,FLOWER HUB,FLOWER HUB,16178,Export,kn2,USD,400,1,0.17,68,130,8840
18/02/2026,VARIJ,VARIJ FLOWERS,16179,Export,,USD,2000,5,0.17,340,130,44200
18/02/2026,TGW,DFG,16181,Export,AIRFLO,EUR,1400,7,0.16,224,140,31360
19/02/2026,TGW,DFG,16182,Export,AIRFLO,EUR,2080,8,0.16,332.8,140,46592
